(('en el caso de', 1.0), 86, (1456, 1237), None, 'hsl(0, 100%, 30%)')
(('se trata de un', 0.19715790166961214), 7, (1260, 1394), None, 'hsl(0, 100%, 30%)')
(('de la junta de', 0.19669347837211845), 7, (1484, 1447), 2, 'hsl(0, 100%, 30%)')
(('en medio de la', 0.19479682079192651), 7, (1474, 1408), 2, 'hsl(0, 100%, 30%)')
(('cuando se trata de', 0.19448920668239289), 7, (1539, 1564), None, 'hsl(0, 100%, 30%)')
(('que se refiere a', 0.19369609835461918), 7, (1605, 1285), 2, 'hsl(0, 100%, 30%)')
(('gobernador de la provincia', 0.19367002130210706), 7, (1653, 1577), None, 'hsl(0, 100%, 30%)')
(('de los que se', 0.19298717124580231), 7, (1266, 1423), None, 'hsl(0, 100%, 30%)')
(('en uno de los', 0.19228278178180794), 7, (1533, 1750), 2, 'hsl(0, 100%, 30%)')
(('uno de los más', 0.19192196111626217), 7, (1635, 1677), 2, 'hsl(0, 100%, 30%)')
(('el desarrollo de la', 0.19176501667312687), 7, (1533, 1251), 2, 'hsl(0, 100%, 30%)')
(('en su mayor parte', 0.19165450381059682), 7, (1463, 1443), None, 'hsl(0, 100%, 30%)')
(('hasta el punto de', 0.1916032052372261), 7, (1539, 1470), 2, 'hsl(0, 100%, 30%)')
(('punto de vista de', 0.19077647239903134), 7, (1339, 1289), None, 'hsl(0, 100%, 30%)')
(('de la historia de', 0.18892439205747652), 7, (1541, 1388), 2, 'hsl(0, 100%, 30%)')
(('es una de las', 0.1888651472012812), 7, (1391, 1700), None, 'hsl(0, 100%, 30%)')
(('en el término de', 0.18826189165676321), 7, (1392, 1461), 2, 'hsl(0, 100%, 30%)')
(('de la secretaría de', 0.18725886138889233), 7, (1598, 1293), 2, 'hsl(0, 100%, 30%)')
(('se trata de una', 0.18681588124707468), 7, (1432, 1537), None, 'hsl(0, 100%, 30%)')
(('de que no se', 0.18567306072087486), 7, (1545, 1612), 2, 'hsl(0, 100%, 30%)')
(('el principio de la', 0.18463467836921177), 7, (1632, 1685), 2, 'hsl(0, 100%, 30%)')
(('la provincia de buenos', 0.18233422273992175), 6, (1432, 1278), None, 'hsl(0, 100%, 30%)')
(('por lo que se', 0.18198195244872759), 6, (1555, 1480), 2, 'hsl(0, 100%, 30%)')
(('en todos los casos', 0.18153837589643171), 6, (1758, 1451), None, 'hsl(0, 100%, 30%)')
(('en la historia de', 0.18112806862559952), 6, (1470, 1761), 2, 'hsl(0, 100%, 30%)')
(('de cada una de', 0.18109105500974926), 6, (1334, 1639), None, 'hsl(0, 100%, 30%)')
(('de los derechos de', 0.18083047239013769), 6, (1402, 1539), None, 'hsl(0, 100%, 30%)')
(('ministro de relaciones exteriores', 0.18033994301533723), 5, (1624, 1459), None, 'hsl(0, 100%, 30%)')
(('de todo lo que', 0.18033388016480306), 5, (1601, 1271), 2, 'hsl(0, 100%, 30%)')
(('en el estado de', 0.18010650053348035), 5, (1614, 1625), None, 'hsl(0, 100%, 30%)')
(('la real orden de', 0.1798084184606431), 5, (1464, 1234), 2, 'hsl(0, 100%, 30%)')
(('de la escuela de', 0.17918209451215072), 5, (1349, 1500), None, 'hsl(0, 100%, 30%)')
(('todo lo que se', 0.17913187729568913), 5, (1677, 1455), 2, 'hsl(0, 100%, 30%)')
(('mayor parte de las', 0.17905503098833597), 5, (1704, 1469), 2, 'hsl(0, 100%, 30%)')
(('el problema de la', 0.17711461576636012), 5, (1693, 1439), 2, 'hsl(0, 100%, 30%)')
(('por parte de los', 0.17683813799096049), 5, (1474, 1283), 2, 'hsl(0, 100%, 30%)')
(('la forma en que', 0.17663503847391593), 5, (1628, 1703), 2, 'hsl(0, 100%, 30%)')
(('el estudio de la', 0.17463301016088678), 5, (1544, 1244), 2, 'hsl(0, 100%, 30%)')
(('por el ministerio de', 0.17444765178844873), 5, (1433, 1473), None, 'hsl(0, 100%, 30%)')
(('juez de primera instancia', 0.17424154147017631), 5, (1259, 1554), None, 'hsl(0, 100%, 30%)')
(('lo que se ha', 0.17307463699600864), 5, (1653, 1332), 2, 'hsl(0, 100%, 30%)')
(('de acuerdo con los', 0.1697788016780592), 5, (1353, 1679), None, 'hsl(0, 100%, 30%)')
(('el proyecto de ley', 0.16873066265292672), 5, (1335, 1455), None, 'hsl(0, 100%, 30%)')
(('para que no se', 0.16871258331555997), 5, (1393, 1473), None, 'hsl(0, 100%, 30%)')
(('en el fondo de', 0.16853768162846064), 5, (1652, 1337), 2, 'hsl(0, 100%, 30%)')
(('tengo el honor de', 0.16744077339294927), 5, (1715, 1347), None, 'hsl(0, 100%, 30%)')
(('en nombre de la', 0.16720660110537608), 5, (1654, 1416), 2, 'hsl(0, 100%, 30%)')
(('en cada uno de', 0.16609415063551122), 5, (1655, 1348), 2, 'hsl(0, 100%, 30%)')
(('por el cual se', 0.16412518698293571), 5, (1571, 1553), 2, 'hsl(0, 100%, 30%)')
(('de acuerdo con lo', 0.16383456552707162), 5, (1731, 1387), None, 'hsl(0, 100%, 30%)')
(('un gran número de', 0.16334506008294736), 5, (1546, 1460), 2, 'hsl(0, 100%, 30%)')
(('la época en que', 0.16282715051657806), 5, (1623, 1572), None, 'hsl(0, 100%, 30%)')
(('del presidente de la', 0.16273744829885517), 5, (1541, 1499), 2, 'hsl(0, 100%, 30%)')
(('en el cual se', 0.1615678476948085), 5, (1451, 1720), None, 'hsl(0, 100%, 30%)')
(('a fin de que', 0.16116456232885501), 5, (1586, 1593), None, 'hsl(0, 100%, 30%)')
(('de la villa de', 0.1611229469178197), 5, (1392, 1646), None, 'hsl(0, 100%, 30%)')
(('cada una de ellas', 0.1610906551451228), 5, (1738, 1574), None, 'hsl(0, 100%, 30%)')
(('de la compañía de', 0.16093850785973565), 5, (1308, 1634), None, 'hsl(0, 100%, 30%)')
(('en la casa de', 0.15985432536254821), 5, (1402, 1393), None, 'hsl(0, 100%, 30%)')
(('el sentido de que', 0.15933413101768129), 5, (1485, 1538), 2, 'hsl(0, 100%, 30%)')
(('la ciudad de méxico', 0.15903713808833031), 5, (1602, 1324), 2, 'hsl(0, 100%, 30%)')
(('la fecha en que', 0.15810190303501706), 5, (1469, 1706), 2, 'hsl(0, 100%, 30%)')
(('de gracia y justicia', 0.15722276424417994), 5, (1537, 1669), None, 'hsl(0, 100%, 30%)')
(('señor presidente de la', 0.15679837539096553), 5, (1543, 1667), 2, 'hsl(0, 100%, 30%)')
(('en el puerto de', 0.15642153898360442), 5, (1460, 1364), None, 'hsl(0, 100%, 30%)')
(('se refiere a la', 0.15631810543412333), 5, (1631, 1695), 2, 'hsl(0, 100%, 30%)')
(('esto es lo que', 0.15583261865702117), 5, (1438, 1398), None, 'hsl(0, 100%, 30%)')
(('el número de los', 0.15582733649496547), 5, (1548, 1410), 2, 'hsl(0, 100%, 30%)')
(('la capital de la', 0.1549548521880334), 5, (1462, 1661), None, 'hsl(0, 100%, 30%)')
(('en el primer caso', 0.15419831219832311), 5, (1653, 1371), None, 'hsl(0, 100%, 30%)')
(('en los casos en', 0.15407172932856736), 5, (1409, 1246), 2, 'hsl(0, 100%, 30%)')
(('en los últimos años', 0.1540507333762707), 5, (1522, 1550), None, 'hsl(0, 100%, 30%)')
(('en el artículo anterior', 0.15349424001471368), 5, (1625, 1379), None, 'hsl(0, 100%, 30%)')
(('con arreglo á las', 0.15324068582780404), 5, (1720, 1356), None, 'hsl(0, 100%, 30%)')
(('por la ley de', 0.15287175383939638), 5, (1750, 1546), None, 'hsl(0, 100%, 30%)')
(('en la universidad de', 0.15147641182138913), 5, (1664, 1452), None, 'hsl(0, 100%, 30%)')
(('sobre la base de', 0.15025768879029572), 5, (1344, 1446), None, 'hsl(0, 100%, 30%)')
(('la isla de cuba', 0.15015542953192085), 5, (1605, 1276), 2, 'hsl(0, 100%, 30%)')
(('el valor de la', 0.15006812002601866), 5, (1238, 1528), None, 'hsl(0, 100%, 30%)')
(('de la orden de', 0.14993518288787178), 5, (1731, 1577), None, 'hsl(0, 100%, 30%)')
(('las leyes de la', 0.1490180319011887), 5, (1264, 1370), 2, 'hsl(0, 100%, 30%)')
(('de la dirección general', 0.14890667051471279), 5, (1475, 1438), 2, 'hsl(0, 100%, 30%)')
(('en el acto de', 0.14852923937819212), 5, (1433, 1714), None, 'hsl(0, 100%, 30%)')
(('con arreglo á la', 0.14852797361559031), 5, (1408, 1250), 2, 'hsl(0, 100%, 30%)')
(('que se ha hecho', 0.14792501601149846), 5, (1271, 1404), 2, 'hsl(0, 100%, 30%)')
(('en favor de los', 0.14791531101611127), 5, (1623, 1309), 2, 'hsl(0, 100%, 30%)')
(('en una de las', 0.14772065938981402), 5, (1710, 1620), None, 'hsl(0, 100%, 30%)')
(('de la muerte de', 0.1473668559990334), 5, (1485, 1487), None, 'hsl(0, 100%, 30%)')
(('ministro de la guerra', 0.14719641511565476), 4, (1265, 1523), None, 'hsl(0, 100%, 30%)')
(('en caso de que', 0.14710525399305777), 4, (1484, 1612), 2, 'hsl(0, 100%, 30%)')
(('de la república argentina', 0.14670306724143165), 4, (1310, 1325), None, 'hsl(0, 100%, 30%)')
(('en la isla de', 0.1466622929399452), 4, (1678, 1325), 2, 'hsl(0, 100%, 30%)')
(('en el centro de', 0.14505191913562815), 4, (1383, 1682), 2, 'hsl(0, 100%, 30%)')
(('de conformidad con lo', 0.14502421367261603), 4, (1503, 1301), 2, 'hsl(0, 100%, 30%)')
(('la idea de que', 0.14486006988279301), 4, (1360, 1325), 2, 'hsl(0, 100%, 30%)')
(('con el propósito de', 0.14463620489359535), 4, (1351, 1564), None, 'hsl(0, 100%, 30%)')
(('en la mayoría de', 0.14444298750260512), 4, (1511, 1234), 2, 'hsl(0, 100%, 30%)')
(('estados unidos de américa', 0.14333516078032357), 4, (1535, 1715), 2, 'hsl(0, 100%, 30%)')
(('los intereses de la', 0.14267785162065594), 4, (1347, 1330), 2, 'hsl(0, 100%, 30%)')
(('de una de las', 0.14201573823044794), 4, (1402, 1616), None, 'hsl(0, 100%, 30%)')
(('de la república y', 0.1415727954437003), 4, (1312, 1686), 2, 'hsl(0, 100%, 30%)')
(('del mismo modo que', 0.14108959515547215), 4, (1614, 1673), None, 'hsl(0, 100%, 30%)')
(('de la vida de', 0.1409979611735703), 4, (1545, 1564), None, 'hsl(0, 100%, 30%)')
(('en cada una de', 0.14086608061180356), 4, (1268, 1606), 2, 'hsl(0, 100%, 30%)')
(('en la época de', 0.14071387486921455), 4, (1397, 1430), None, 'hsl(0, 100%, 30%)')
(('la fecha de la', 0.14042782398261844), 4, (1423, 1607), 2, 'hsl(0, 100%, 30%)')
(('en el departamento de', 0.14017834568771179), 4, (1539, 1517), None, 'hsl(0, 100%, 30%)')
(('la cámara de representantes', 0.14010110711501519), 4, (1495, 1333), 2, 'hsl(0, 100%, 30%)')
(('de primera instancia de', 0.13991722946942584), 4, (1448, 1672), None, 'hsl(0, 100%, 30%)')
(('en la mayor parte', 0.13973394524530111), 4, (1616, 1331), None, 'hsl(0, 100%, 30%)')
(('en relación con el', 0.13912074556114337), 4, (1242, 1522), None, 'hsl(0, 100%, 30%)')
(('el caso de la', 0.13911348744761737), 4, (1357, 1390), 2, 'hsl(0, 100%, 30%)')
(('con el título de', 0.13900143527333467), 4, (1453, 1659), None, 'hsl(0, 100%, 30%)')
(('a lo largo de', 0.13880844137227888), 4, (1630, 1280), 2, 'hsl(0, 100%, 30%)')
(('en la necesidad de', 0.1381974877186366), 4, (1491, 1471), None, 'hsl(0, 100%, 30%)')
(('en la cual se', 0.13807741544265159), 4, (1311, 1522), None, 'hsl(0, 100%, 30%)')
(('dispuesto en el artículo', 0.13760251627352896), 4, (1241, 1476), None, 'hsl(0, 100%, 30%)')
(('del consejo de ministros', 0.13753164642714305), 4, (1472, 1581), 2, 'hsl(0, 100%, 30%)')
(('en la sala de', 0.13731786847318761), 4, (1664, 1544), None, 'hsl(0, 100%, 30%)')
(('no es más que', 0.13668728608992101), 4, (1620, 1657), 2, 'hsl(0, 100%, 30%)')
(('el uso de la', 0.13661865409653348), 4, (1501, 1307), 2, 'hsl(0, 100%, 30%)')
(('de guerra y marina', 0.13624703979243635), 4, (1662, 1597), None, 'hsl(0, 100%, 30%)')
(('la ciudad de la', 0.13600176326555602), 4, (1600, 1363), 2, 'hsl(0, 100%, 30%)')
(('la base de la', 0.13575050059921093), 4, (1552, 1598), 2, 'hsl(0, 100%, 30%)')
(('por el hecho de', 0.13554732382166512), 4, (1716, 1623), None, 'hsl(0, 100%, 30%)')
(('a que se refiere', 0.13523808416703226), 4, (1339, 1632), None, 'hsl(0, 100%, 30%)')
(('por la cual se', 0.13521652421828212), 4, (1657, 1341), 2, 'hsl(0, 100%, 30%)')
(('en el interior de', 0.13475138130060951), 4, (1404, 1744), 2, 'hsl(0, 100%, 30%)')
(('el resto de la', 0.134268577954199), 4, (1664, 1392), None, 'hsl(0, 100%, 30%)')
(('en la ley de', 0.13411968449931508), 4, (1560, 1291), 2, 'hsl(0, 100%, 30%)')
(('no se trata de', 0.13411590036280654), 4, (1580, 1558), 2, 'hsl(0, 100%, 30%)')
(('en el caso del', 0.13361101122468019), 4, (1310, 1621), 2, 'hsl(0, 100%, 30%)')
(('al presidente de la', 0.13254666767964071), 4, (1486, 1313), 2, 'hsl(0, 100%, 30%)')
(('por el que se', 0.13250191809092227), 4, (1703, 1414), None, 'hsl(0, 100%, 30%)')
(('rio de la plata', 0.13247996849155791), 4, (1281, 1344), None, 'hsl(0, 100%, 30%)')
(('de la sociedad de', 0.1322062674643775), 4, (1404, 1280), None, 'hsl(0, 100%, 30%)')
(('lo cierto es que', 0.13202769583559743), 4, (1550, 1602), 2, 'hsl(0, 100%, 30%)')
(('en todo lo que', 0.13007234107406701), 4, (1523, 1410), None, 'hsl(0, 100%, 30%)')
(('que el gobierno de', 0.12987948193164364), 4, (1397, 1715), None, 'hsl(0, 100%, 30%)')
(('desde el momento en', 0.12977779024071451), 4, (1552, 1268), 2, 'hsl(0, 100%, 30%)')
(('una de las más', 0.12959124438360678), 4, (1503, 1380), None, 'hsl(0, 100%, 30%)')
(('el campo de la', 0.12908536879787053), 4, (1702, 1541), None, 'hsl(0, 100%, 30%)')
(('el ejercicio de la', 0.127774370749035), 4, (1539, 1271), None, 'hsl(0, 100%, 30%)')
(('por medio de los', 0.12772532453426169), 4, (1350, 1450), None, 'hsl(0, 100%, 30%)')
(('que se ha de', 0.12757903872577864), 4, (1486, 1686), 2, 'hsl(0, 100%, 30%)')
(('el señor ministro de', 0.12688681368182705), 4, (1545, 1504), 2, 'hsl(0, 100%, 30%)')
(('el día en que', 0.12668745661266137), 4, (1355, 1542), 2, 'hsl(0, 100%, 30%)')
(('uso de la palabra', 0.12660928788663098), 4, (1439, 1359), None, 'hsl(0, 100%, 30%)')
(('de las personas que', 0.12659909166159403), 4, (1466, 1365), None, 'hsl(0, 100%, 30%)')
(('se refiere el artículo', 0.12656730098580402), 4, (1508, 1361), 2, 'hsl(0, 100%, 30%)')
(('en el momento en', 0.12629843663150472), 4, (1495, 1492), 2, 'hsl(0, 100%, 30%)')
(('la existencia de un', 0.12562927624160891), 4, (1437, 1484), None, 'hsl(0, 100%, 30%)')
(('el seno de la', 0.12539387442883174), 4, (1523, 1375), None, 'hsl(0, 100%, 30%)')
(('en todas sus partes', 0.12535747080242648), 4, (1628, 1709), 2, 'hsl(0, 100%, 30%)')
(('de que habla el', 0.12504297128549322), 4, (1303, 1678), 2, 'hsl(0, 100%, 30%)')
(('de san juan de', 0.12503855550044723), 4, (1473, 1347), 2, 'hsl(0, 100%, 30%)')
(('de lo dispuesto en', 0.12469864526756705), 4, (1628, 1496), 2, 'hsl(0, 100%, 30%)')
(('en la villa de', 0.12443411044773231), 4, (1320, 1696), 2, 'hsl(0, 100%, 30%)')
(('juan manuel de rosas', 1.0), 18, (1014, 1507), None, 'hsl(197, 100%, 30%)')
(('de la junta central', 0.99619734437949448), 18, (1048, 1562), 2, 'hsl(197, 100%, 30%)')
(('de la dicha cibdad', 0.83281521808154213), 17, (983, 1506), None, 'hsl(206, 100%, 30%)')
(('el congreso del estado', 0.74456277815867966), 16, (1048, 1585), 2, 'hsl(210, 100%, 30%)')
(('francisco de paula santander', 0.73907048451956603), 13, (1028, 1513), None, 'hsl(211, 100%, 30%)')
(('la dicha cibdad de', 0.626070367404714), 12, (998, 1508), None, 'hsl(217, 100%, 30%)')
(('la virgen de guadalupe', 0.5924524117670491), 12, (1073, 1515), 2, 'hsl(218, 100%, 30%)')
(('la ilusión de que', 0.56232625225631705), 12, (1096, 1544), 2, 'hsl(220, 100%, 30%)')
(('de la membrana mucosa', 0.56207968846050405), 12, (1074, 1529), 2, 'hsl(220, 100%, 30%)')
(('quinientos y setenta y', 0.55846276791921801), 12, (1057, 1613), 2, 'hsl(220, 100%, 30%)')
(('de la dicha tierra', 0.5539792063212593), 12, (1054, 1629), 2, 'hsl(220, 100%, 30%)')
(('audiencia de santo domingo', 0.55061285221023004), 7, (1220, 1519), None, 'hsl(221, 100%, 30%)')
(('juan de la cosa', 0.53128085115701829), 7, (997, 1646), None, 'hsl(222, 100%, 30%)')
(('la bahía de san', 0.46253490694806276), 7, (1040, 1516), None, 'hsl(225, 100%, 30%)')
(('al solo efecto de', 0.46030410881287165), 7, (1050, 1505), None, 'hsl(225, 100%, 30%)')
(('es de edad de', 0.45217028586080987), 7, (969, 1512), None, 'hsl(226, 100%, 30%)')
(('contenido en la pregunta', 0.45028108778095272), 7, (1045, 1642), 2, 'hsl(226, 100%, 30%)')
(('el jefe político de', 0.45000706548126046), 7, (1007, 1547), None, 'hsl(226, 100%, 30%)')
(('congreso del estado de', 0.42537694667285841), 7, (1004, 1619), None, 'hsl(227, 100%, 30%)')
(('la citada real orden', 0.41513594503683043), 7, (974, 1557), None, 'hsl(228, 100%, 30%)')
(('en el cabildo de', 0.407979224884022), 7, (1118, 1553), 2, 'hsl(228, 100%, 30%)')
(('para el diagnóstico de', 0.40756452398043874), 7, (1062, 1603), 2, 'hsl(228, 100%, 30%)')
(('de la operación de', 0.40334687241966077), 7, (1131, 1504), 2, 'hsl(228, 100%, 30%)')
(('de indias de sevilla', 0.3924845258213015), 7, (1132, 1580), 2, 'hsl(229, 100%, 30%)')
(('de la nación no', 0.39016977594050584), 7, (1227, 1555), None, 'hsl(229, 100%, 30%)')
(('sino también en las', 0.38527066134275645), 7, (1043, 1652), 2, 'hsl(229, 100%, 30%)')
(('de los dichos señores', 0.37983949154898577), 7, (1145, 1602), 2, 'hsl(230, 100%, 30%)')
(('de la prisión de', 0.37053510633927539), 7, (1067, 1504), 2, 'hsl(230, 100%, 30%)')
(('el canje de las', 0.36686938719591705), 7, (1039, 1658), 2, 'hsl(230, 100%, 30%)')
(('queda encargado del cumplimiento', 0.36092756203880777), 4, (1041, 1572), None, 'hsl(231, 100%, 30%)')
(('la educación del pueblo', 0.3582705008946932), 4, (1203, 1538), None, 'hsl(231, 100%, 30%)')
(('cualquier parte del mundo', 0.35232677450753719), 4, (1058, 1511), None, 'hsl(231, 100%, 30%)')
(('juan de la torre', 0.35092238604704568), 4, (1069, 1554), 2, 'hsl(231, 100%, 30%)')
(('en el estilo de', 0.34716041415185395), 4, (1089, 1539), 2, 'hsl(231, 100%, 30%)')
(('de santa marta y', 0.34248988273775688), 4, (1209, 1544), None, 'hsl(232, 100%, 30%)')
(('del consejo de instrucción', 0.32956602430118576), 4, (1084, 1576), 2, 'hsl(232, 100%, 30%)')
(('el número de escuelas', 0.32827790906077914), 4, (1121, 1623), 2, 'hsl(232, 100%, 30%)')
(('un mes antes de', 0.32683982369417569), 4, (1214, 1536), None, 'hsl(232, 100%, 30%)')
(('la isla de león', 0.32482798241778327), 4, (1050, 1667), 2, 'hsl(232, 100%, 30%)')
